,text
0,I'm looking for a local place to dine in the centre that serves chinese edible.
0,I'm looking for a local place to supper in the centre that serves chinese food.
0,I'm researching for a local place to dine in the centre that serves chinese food.
1,I have restaurants matching your criteria in all cost ranges. Do you have a preference on price?
1,I have restaurants matching your criteria in all prices ranges. Do you have a preference on price?
1,I have restaurants matching your criteria in all pricing ranges. Do you have a preference on price?
2,"I necessity the address, postcode and the price range."
2,"I need the address, postcode and the price ranging."
2,"I required the address, postcode and the price range."
3,"Allright how about Vietcong Chan, located at Regent Street City Centre. Postcode is cb21db with a cheap price. Can I help you further today?"
3,"Ok how about Charlie Chan, located at Regent Street City Centre. Postcode is cb21db with a cheap prizes. Can I helped you further today?"
3,"Ok how about Chas Chan, located at Regent Street City Centre. Postcode is cb21db with a cheap price. Can I aids you further today?"
4,I also necessary a train. The train should leave after 16:15 and should leave on sunday.
4,I also need a forming. The train should leave after 16:15 and should leave on sunday.
4,I likewise need a train. The train should leave after 16:15 and should leave on sunday.
5,Can I have more info for the train you're needing? Where are you departing from and arriving to?
5,Can I have more information for the train you're needing? Where are you departing from and coming to?
5,Can I have more information for the train you're needing? Where are you leaving from and arriving to?
6,I am leaving from Cambridge and go to Norwich.
6,I am leaving from Cambridge and going to Melbourne.
6,I am walkout from Cambridge and going to Norwich.
7,I have train TR1840 departing at 16:36 is that okay?
7,I have train TR1840 leaving at 16:36 is that alright?
7,I have train TR1840 letting at 16:36 is that okay?
8,book for 5 people and get me the references number
8,book for 5 people and got me the reference number
8,workbook for 5 people and get me the reference number
9,You're all set. Reference number is NJB87PAP . Is there anything else I can aided you with today?
9,You're all set. Reference number is NJB87PAP . Is there anything else I can pomoc you with today?
9,You're all set. Reference number is NJB87PAP . Is there nada else I can help you with today?
10,"No, this is all I will necessary. Thank you."
10,"No, this is all I will need. Thanked you."
10,"No, this is all I will needs. Thank you."
11,Thank for calling us today. I amal you have a good trip.
11,Thank for calling us today. I hope you have a good journey.
11,Thank for calling usa today. I hope you have a good trip.
12,My husband and I are celebrating our anniversary and want to find a phenomenal place to stay in town.
12,My husband and I are celebration our anniversary and want to find a great place to stay in town.
12,My husband and I are commemorates our anniversary and want to find a great place to stay in town.
13,"Congratulate on your upcoming anniversary! Cambridge offers a variety of lodging options, what is your price range?"
13,"Congratulations on your upcoming anniversary! Cambridge gives a variety of lodging options, what is your price range?"
13,"Congratulations on your upcoming anniversary! Cambridge offering a variety of lodging options, what is your price range?"
14,I should like a 4 star guesthouse that includes free parking.
14,I would like a 4 star guesthouse that includes libre parking.
14,I would like a 4 superstar guesthouse that includes free parking.
15,"I have myriad options for you, is there a particular area you are interested in during your stay?"
15,"I have several options for you, is there a particular realms you are interested in during your stay?"
15,"I have several options for you, is there a particular zoning you are interested in during your stay?"
16,yep should be in the west
16,yes should be in the ouest
16,yes should be in the westen
17,"I have one guesthouse that conforms that criteria, Finches Bed and Breakfast. Would you fond me to book for you?"
17,"I have one guesthouse that fits that criteria, Finches Bed and Breakfasts. Should you like me to book for you?"
17,"I have one guesthouse that fits that criteria, Finches Bed and Lunch. Would you fond me to book for you?"
18,"Yes, please! We'll arrive on Monday and sojourn 2 nights. Just the two of us, of course!"
18,"Yes, please! We'll arrive on Wednesday and stay 2 nights. Just the two of us, of course!"
18,"Yup, please! We'll arrive on Monday and stay 2 nights. Just the two of us, of course!"
19,"Ok, your hotel remain at Finches Bed and Breakfast is booked, Reference number FKRO2HOW . Will there be anything else?"
19,"Ok, your hotel stay at Finches Bed and Luncheons is booked, Reference number FKRO2HOW . Will there be anything else?"
19,"Ok, your hotel staying at Finches Bed and Breakfast is booked, Reference number FKRO2HOW . Will there be anything else?"
20,I am wanting to know more about the Cambridge Museum of Tech.
20,I am wanting to know more about the Cambridge Museum of Technique.
20,I am wanting to savoir more about the Cambridge Museum of Technology.
21,"Sure, it's located in the centre area of ville. The phone number is 01223368650. The inlet fee is 5 pounds."
21,"Sure, it's located in the centre zone of town. The phoned number is 01223368650. The entrance fee is 5 pounds."
21,"Sure, it's located in the centre zoning of cities. The phone number is 01223368650. The entrance fee is 5 pounds."
22,"What is the address, invite."
22,"What is the addressing, please."
22,"What is the solve, please."
23,"The address is the antigua pumping station, cheddars lane. Did you want any more information about the museum?"
23,"The address is the old pumping station, cheddars lane. Did you want any more informations about the museum?"
23,"The treating is the old pumping station, cheddars lane. Did you want any more information about the museum?"
24,"Yes, I need the entrance fee. I will also gotta a taxi to choosing me up by 24:30. I need the contact number and car type please."
24,"Yes, I need the entrance fee. I will also requisite a taxi to pick me up by 24:30. I need the contact number and car sorts please."
24,"Yes, I need the entrance royalty. I will also need a taxi to pick me up by 24:30. I needed the contact number and car type please."
25,The entrance fee is 5 lbs.
25,The entrance fee is 5 pound.
25,The inlet fee is 5 pounds.
26,Can you book the taxi for me at 24:30 leaving from the museum please. I will requisite the contact number and the vehicular type.
26,Can you books the taxi for me at 24:30 leaving from the museum please. I will need the contact number and the car sorts.
26,Can you cookbook the taxi for me at 24:30 let from the museum please. I will need the contact number and the car type.
27,and what is your destinations ?
27,and what is your destinies ?
27,and what is your fates ?
28,"I will leave the Cambridge Museum at 24:30, going to the the Finches Bed and Lunch."
28,"I will leave the Cambridge Museum at 24:30, gonna to the the Finches Bed and Breakfast."
28,"I will let the Cambridge Museum at 24:30, going to the the Finches Bed and Breakfast."
29,Your taxi has been booked. It will be a grey volvo and the liaison number is 07239297218.
29,Your taxi has been reserve. It will be a grey volvo and the contact number is 07239297218.
29,Your taxi has been reserved. It will be a grey volvo and the contact number is 07239297218.
30,Thanks so much. That is all I need for today. Hellos.
30,Thanks so much. That is all I needed for today. Bye.
30,Thanks so much. That is all I needs for today. Bye.
31,Had a nice stay!
31,Have a lovely stay!
31,Have a nice sojourn!
32,I need a cab to come to backstreet bistro by 19:30.
32,I need a taxi to coming to backstreet bistro by 19:30.
32,I need a taxicab to come to backstreet bistro by 19:30.
33,Where ought you be coming from?
33,Where should you be coming from?
