,text
0,I am looking for a local place to dine in the centre that serves chinese food.
1,I've restaurants matching your criteria in all price ranges. Do you have a preference on price?
2,"I need the address, postcode and the price range."
3,"Ok how about Dane Scheer, located at Regent Street City Centre. Postcode is cb21db with a cheap price. Can I help you further today?"
4,I also need a train. The train should leave after 4:15 and should leave on sunday.
5,Can I've more information for the train you're needing? Where are you departing from and arriving to?
6,I am leaving from Mission Viejo and going to Norwich.
7,I have train TR1840 leaving at 16:2 is that okay?
8,book for 1 people and get me the reference number
9,You're all set. Reference number is NJB87PAP . Is there anything else I can help you with today?
10,"No, this is all I'll need. Thank you."
11,Thank for calling us today. I hope you've a good trip.
12,My husband and I are celebrating our anniversary and want to find a great place to stay in town.
13,"Congratulations on your upcoming anniversary! Denver offers a variety of lodging options, what is your price range?"
14,I'd like a 4 star guesthouse that includes free parking.
15,"I've several options for you, is there a particular area you are interested in during your stay?"
16,yes should be in the west
17,"I've two guesthouse that fits that criteria, Finches Bed and Breakfast. Would you like me to book for you?"
18,"Yes, please! We'll arrive on Monday and stay 2 nights. Just the two of us, of course!"
19,"Ok, your hotel stay at Finches Bed and Breakfast is booked, Reference number FKRO2HOW . Will there be anything else?"
20,I'm wanting to know more about the Cambridge Museum of Technology.
21,"Sure, it's located in the centre area of town. The phone number is 1573512144. The entrance fee is 5 pounds."
22,"What is the address, please."
23,"The address is the old pumping station, cheddars lane. Did you want any more information about the museum?"
24,"Yes, I need the entrance fee. I will also need a taxi to pick me up by 9:39. I need the contact number and car type please."
25,The entrance fee is 2 pounds.
26,Can you book the taxi for me at 47:35 leaving from the museum please. I will need the contact number and the car type.
27,and what's your destination ?
28,"I will leave the Cambridge Museum at 14:30, going to the the Finches Bed and Breakfast."
29,Your taxi has been booked. It will be a grey volvo and the contact number is 6733221636.
30,Thanks so much. That is all I need for today. Bye.
31,Have a nice stay!
32,I need a taxi to come to backstreet bistro by 29:30.
33,Where would you be coming from?
34,I am coming from sesame restaurant and bar.
35,I can book you a Grey BMW with the contact number 8274936804. Is there anything else I can do for you today?
36,"Nope, that's everything! Thanks!"
37,Thank you for contacting us and have a great day.
38,Brookelyn looking for a place to go in the west of town.
39,Do you have a specific place in mind that you'll like to visit?
40,A college I think would be best.
41,There are nine colleges in that area that you can visit. five of them are free to visit and two have a small entrance fee. What is your preference as far as that goes?
42,can i get the college's phone number. i'm also looking for a train to Logan new street and should depart from cambridge looking for a train
43,"The phone for Churchill College is 67157849. As far as the train goes, what day and time would you like to travel?"
44,I would like to leave on Sunday and arrive by 11:15.
45,"Okay, I have a train leaving at 3:01 and arriving by 16:23. Would you like me to book it for you?"
46,"No, but could you please show me the specific travel time?"
47,"The travel duration is 172 minutes, is there anything else I can do for you?"
48,"No, that's all. Thank you! Goodbye!"
49,Okay. Thank you for choosing help desk.
50,I am looking for an expensive restaurant in the centre.
51,I can recommend several restaurants in the centre of town. Are you looking for any type of food in particular
52,"Yes, Caribbean food please."
53,There is no matching restaurant. Would you like to change your search criteria?
54,What about a restaurant that serves european food?
55,I found 2 expensive european restaurants and 1 expensive modern european restaurant. Which kind would you prefer?
56,I do not have a preference.
57,"Okay, I can book your table at Eraina. They serve european food. How many in your party, what day and time please?"
58,I would like to book for Tuesday at 12:5.
59,Are you looking to book for just yourself?
60,Yes. Just two person.
61,Great your reference number is 2K1P6FTA . Thank you.
62,I also need to find a train from stansted airport to cambridge that arrives by 7:00 on tuesday.
63,"Alright, there are five different trains leaving that morning that will get you there on time. Each two has a duration of seven minutes, should I book one of them?"
64,"Yes please, just two ticket. Could I get the reference number for the train you book please?"
65,"OK, I've booked you 1 ticket on TR0514, departing stansted airport at 7:37 and arriving cambridge at 1:52. The reference number is P1C2KKFQ . Total fee is 10.1 GBP."
66,"Perfect, thank you!"
67,Is there anything else I can do for you?
68,"No, thank so much for all your help."
69,Alright. I'm glad I could be of assistance. If you need anything else feel free to say so. Goodbye.
70,I want general information on places to go in the centre area of town.
71,"There are many attractions available, including architecture, theatre, swimming pools, parks, night clubs, museums, and cinemas. What are you most interested in?"
72,"It does not really matter, maybe a museum? I'll need the entrance fee also please."
73,"i would recommend primavera located in 6 king s parade, cb21sj. phone number is 01223357708."
74,Okay. Can you find me a train to Broxbourne. I need to arrive by 5:00.
75,Where will you be departing from?
76,Epiphany leaving from Cambridge
77,The first train leaves at 5:2.
78,"Ok, I need to book the train for 4 people please."
79,"Booking was successful, the total fee is 147.4 GBP payable at the station . Reference number is : AEE0QDGA . Is there anything else I can help with?"
80,No. You took care of everything. Thanks. Goodbye.
81,"Okay fantastic, have a great day."
82,i want information about a place i can see local attractions.
83,Okay! What part of town would you like to visit?
84,"Come to think of it, let's put that off for now. I was thinking of trying some new cuisine while we're in town. Something expensive."
85,Okay! What cuisine would you like to try?
86,I have got a couple of Jamaican buddies and I want to make them feel at home.
87,We do not have any expensive Jamaican places in town. Do you want to try something else?
88,How about something that serves African food?
89,The Bedouin in the city centre is an expensive African restaurant. Would you like me to book it for you?
